species,SL2TL,maxTL
N. exilis,1.131,150
N. albater,1.181,120
N. gyrinus,1.189,130
N. flavipinnis,1.244,150
N. funebris,1.148,150
N. gilberti,1.188,100
N. insignis,1.149,150
N. leptacanthus,1.143,94
N. miurus,1.170,130
N. stigmosus,1.166,130
A. melas,1.156,660
A. natalis,1.209,600
A. nebulosus I,1.135,550
A. nebulosus II,1.242,550
